playerDefensiveAbilityId,birthId,organizationId,tackles,tacklesWon,cards_yellow,cards_red
629,439,25,0,0,0,0
613,170,25,93,51,5,0
587,179,25,4,3,0,0
577,673,25,4,3,2,0
576,673,25,25,14,2,0
463,451,25,55,25,5,0
306,450,25,21,15,7,1
235,370,25,42,24,10,0
187,461,25,60,32,3,0
173,319,25,75,49,12,0
116,619,25,3,2,1,0
113,492,25,0,0,0,0
104,65,25,39,23,4,0
1103,584,26,92,54,7,0
930,26,26,65,33,1,0
914,273,26,4,3,0,0
850,68,26,4,2,1,0
849,68,26,4,3,1,0
800,63,26,29,23,3,0
706,603,26,8,6,0,0
705,603,26,6,4,0,0
699,355,26,61,40,3,1
675,220,26,66,30,12,1
660,309,26,41,23,1,0
519,331,26,2,2,0,0
493,637,26,0,0,0,0
391,387,26,68,40,5,0
280,423,26,64,42,9,0
204,324,26,1,1,0,0
167,577,26,41,22,5,0
97,315,26,34,21,4,0
988,237,27,38,21,3,0
637,354,27,72,39,6,0
455,511,27,10,7,6,0
393,580,27,51,35,5,1
372,487,27,4,4,1,0
371,487,27,10,8,1,0
94,155,27,60,39,7,0
84,460,27,17,6,2,0
83,460,27,0,0,2,0
1012,468,28,38,29,4,0
972,90,28,12,9,0,0
971,90,28,7,4,0,0
968,489,28,21,13,3,0
967,489,28,45,28,3,0
922,656,28,56,44,8,1
920,664,28,13,11,2,0
879,506,28,48,26,1,0
847,234,28,99,60,8,1
830,468,28,3,2,0,0
825,350,28,0,0,0,0
810,254,28,19,14,1,0
763,286,28,19,16,1,0
756,328,28,66,38,1,0
661,81,28,19,12,1,0
615,44,28,32,21,1,0
537,34,28,26,16,2,0
536,34,28,3,3,2,0
507,400,28,29,22,2,0
505,630,28,8,5,0,0
416,88,28,13,7,2,0
406,447,28,7,4,3,0
312,509,28,14,11,4,0
200,278,28,14,8,2,0
176,134,28,23,12,0,0
135,486,28,22,16,0,0
64,228,28,5,3,0,0
1037,426,29,48,28,7,1
1033,36,29,5,3,2,0
1010,140,29,41,19,4,0
981,441,29,27,17,6,0
928,223,29,18,15,0,0
858,669,29,15,9,7,0
799,201,29,14,5,0,0
598,318,29,56,44,4,0
550,343,29,57,35,8,0
444,327,29,40,25,2,0
424,125,29,32,20,1,0
309,431,29,70,42,4,0
115,519,29,23,16,3,0
80,572,29,42,27,4,0
1090,555,30,50,32,8,0
1026,391,30,13,10,2,0
876,229,30,63,37,4,1
872,312,30,49,27,5,0
846,333,30,30,19,7,0
688,298,30,43,21,2,1
609,73,30,32,19,0,0
565,379,30,26,15,2,0
564,379,30,16,13,2,0
