assists,dribbles,sca,sca90,pass_targets,miscontrols,dispossessed,fouled,fbrefId,playerFullName,ca,vis,ldr,pas,dri,agi,cnt,city,country,position,squad,comp,id
0,12,8,1.56,292,17,17,5,1238a3f9,Davie Selke,135,9,11,11,12,11,13,Schorndorf,Germany,FW,Werder Bremen,1. Bundesliga,69
1,14,18,1.69,554,38,18,23,1238a3f9,Davie Selke,135,9,11,11,12,11,13,Schorndorf,Germany,FW,Hertha BSC,1. Bundesliga,70
2,38,48,2.85,1044,14,27,26,1265a93a,Reece James,141,10,13,13,11,12,14,London,England,"DF-MF (FB, right)",Chelsea,1. Premier League,71
1,43,31,2.19,690,11,8,17,1295552e,Mert Müldür,128,10,5,12,11,12,13,Vienna,Austria,"DF (FB, right)",Sassuolo,1. Serie A,72
2,33,55,2.36,1132,83,49,63,129af0db,Álvaro Morata,155,11,12,14,14,15,12,Madrid,Spain,FW,Atlético Madrid,1. La Liga,73
5,101,57,3.15,954,27,48,40,12c50af5,Denis Suárez,142,17,8,15,15,13,11,Salceda de Caselas,Spain,MF (AM-CM-WM),Celta Vigo,1. La Liga,74
3,45,66,4.91,660,22,27,23,130a7a3f,Samu Castillejo,141,13,8,14,14,15,12,Barcelona,Spain,"FW-MF (AM-WM, right)",Milan,1. Serie A,75
1,71,48,1.83,850,33,45,30,13203c45,Jérôme Roussillon,139,13,8,12,13,13,14,Sarcelles,France,"DF-MF (FB, left)",Wolfsburg,1. Bundesliga,76
0,1,3,3.38,37,1,1,0,149c5f5d,Giuseppe Pezzella,124,9,8,11,11,12,13,Naples,Italy,DF-MF,Udinese,1. Serie A,77
0,18,15,1.42,382,9,10,18,149c5f5d,Giuseppe Pezzella,124,9,8,11,11,12,13,Naples,Italy,DF-MF,Parma,1. Serie A,78
0,0,3,0.39,362,1,1,1,14b8fcdf,Daniele Rugani,143,12,7,14,10,12,13,Lucca,Italy,DF (CB),Juventus,1. Serie A,79
4,56,87,3.98,1007,39,54,41,15b287da,Daichi Kamada,126,15,6,13,14,16,10,Ehime,Japan,FW-MF (AM),Eint Frankfurt,1. Bundesliga,80
1,10,15,0.67,986,9,10,18,15d0c248,Luiz Felipe,142,12,7,11,6,14,11,Colina,Brazil,DF (CB),Lazio,1. Serie A,81
