player,squad,comp,id
Jérôme Roussillon,Wolfsburg,1. Bundesliga,601
Edoardo Goldaniga,Genoa,1. Serie A,602
Mato Jajalo,Udinese,1. Serie A,603
Anthony Ujah,Union Berlin,1. Bundesliga,604
Steven Bergwijn,Tottenham,1. Premier League,605
Henrikh Mkhitaryan,Arsenal,1. Premier League,606
Achraf Hakimi,Dortmund,1. Bundesliga,607
Víctor Díaz,Granada,1. La Liga,608
Florin Andone,Brighton,1. Premier League,609
Niklas Süle,Bayern Munich,1. Bundesliga,610
Antonio Sanabria,Genoa,1. Serie A,611
Ansu Fati,Barcelona,1. La Liga,612
Ibrahima Konaté,RB Leipzig,1. Bundesliga,613
Kingsley Ehizibue,Köln,1. Bundesliga,614
Vicente Iborra,Villarreal,1. La Liga,615
Rafael Tolói,Atalanta,1. Serie A,616
Riccardo Orsolini,Bologna,1. Serie A,617
Nicola Sansone,Bologna,1. Serie A,618
Maximilian Eggestein,Werder Bremen,1. Bundesliga,619
Erik Thommy,Düsseldorf,1. Bundesliga,620
James Milner,Liverpool,1. Premier League,621
Lukáš Haraslín,Sassuolo,1. Serie A,622
Giacomo Raspadori,Sassuolo,1. Serie A,623
Alex Ferrari,Sampdoria,1. Serie A,624
Lucas Torreira,Arsenal,1. Premier League,625
Emil Krafth,Newcastle Utd,1. Premier League,626
Wilfried Singo,Torino,1. Serie A,627
Erik Durm,Eint Frankfurt,1. Bundesliga,628
Robin Koch,Freiburg,1. Bundesliga,629
Koray Günter,Hellas Verona,1. Serie A,630
Nahitan Nández,Cagliari,1. Serie A,631
Max Kilman,Wolves,1. Premier League,632
Ashley Barnes,Burnley,1. Premier League,633
James Ward-Prowse,Southampton,1. Premier League,634
Unai Núñez,Athletic Club,1. La Liga,635
Álex Berenguer,Torino,1. Serie A,636
Francesco Magnanelli,Sassuolo,1. Serie A,637
Rodrigo Bentancur,Juventus,1. Serie A,638
Karim Benzema,Real Madrid,1. La Liga,639
Ante Budimir,Mallorca,1. La Liga,640
Víctor Camarasa,Crystal Palace,1. Premier League,641
Víctor Laguardia,Alavés,1. La Liga,642
Darío Poveda,Atlético Madrid,1. La Liga,643
Diego Godín,Inter,1. Serie A,644
Raúl Albiol,Villarreal,1. La Liga,645
Gianluca Caprari,Parma,1. Serie A,646
Fikayo Tomori,Chelsea,1. Premier League,647
Adama Traoré,Wolves,1. Premier League,648
Lyanco,Torino,1. Serie A,649
Morten Thorsby,Sampdoria,1. Serie A,650
Fran Beltrán,Celta Vigo,1. La Liga,651
Robert Skov,Hoffenheim,1. Bundesliga,652
Davie Selke,Werder Bremen,1. Bundesliga,653
Melayro Bogarde,Hoffenheim,1. Bundesliga,654
Allan Saint-Maximin,Newcastle Utd,1. Premier League,655
Ridle Baku,Mainz 05,1. Bundesliga,656
Oriol Romeu,Southampton,1. Premier League,657
Moussa Diaby,Leverkusen,1. Bundesliga,658
Joelinton,Newcastle Utd,1. Premier League,659
Kalidou Koulibaly,Napoli,1. Serie A,660
Victor Lindelöf,Manchester Utd,1. Premier League,661
Sergi Guardiola,Valladolid,1. La Liga,662
John McGinn,Aston Villa,1. Premier League,663
Carles Pérez,Roma,1. Serie A,664
Solly March,Brighton,1. Premier League,665
Henrikh Mkhitaryan,Roma,1. Serie A,666
Ángel Correa,Atlético Madrid,1. La Liga,667
David García,Osasuna,1. La Liga,668
Mason Greenwood,Manchester Utd,1. Premier League,669
Davide Faraoni,Hellas Verona,1. Serie A,670
Allan,Napoli,1. Serie A,671
Virgil van Dijk,Liverpool,1. Premier League,672
Musa Barrow,Bologna,1. Serie A,673
Lucas Digne,Everton,1. Premier League,674
Valerio Verre,Hellas Verona,1. Serie A,675
Roberto Firmino,Liverpool,1. Premier League,676
Ximo Navarro,Alavés,1. La Liga,677
Juan Cuadrado,Juventus,1. Serie A,678
Callum Hudson-Odoi,Chelsea,1. Premier League,679
Stefano Sturaro,Genoa,1. Serie A,680
Ozan Kabak,Schalke 04,1. Bundesliga,681
Michael Gregoritsch,Augsburg,1. Bundesliga,682
Federico Chiesa,Fiorentina,1. Serie A,683
Wilfred Ndidi,Leicester City,1. Premier League,684
Marash Kumbulla,Hellas Verona,1. Serie A,685
Paco Alcácer,Villarreal,1. La Liga,686
Jesús Vallejo,Granada,1. La Liga,687
Juan Mata,Manchester Utd,1. Premier League,688
Duván Zapata,Atalanta,1. Serie A,689
Quini,Granada,1. La Liga,690
Benjamin Hübner,Hoffenheim,1. Bundesliga,691
Manuel Locatelli,Sassuolo,1. Serie A,692
Ander Guevara,Real Sociedad,1. La Liga,693
Willy Boly,Wolves,1. Premier League,694
Stefano Sensi,Inter,1. Serie A,695
Vitolo,Atlético Madrid,1. La Liga,696
Bram Nuytinck,Udinese,1. Serie A,697
