id,season,country,comp_level,lg_finish,squad,age,games,games_starts,mnts,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90
173061c0,2019-2020,ITA,1. Serie A,11th,Parma,29,32,31,2604,28.9,3,2,3,0,0,7,0,0.1,0.07,0.17,0.1
17376543,2019-2020,GER,1. Bundesliga,11th,Union Berlin,31,33,33,2970,33,0,0,0,0,0,0,0,0,0,0,0
174651c8,2019-2020,ESP,1. La Liga,8th,Getafe,29,22,10,943,10.5,3,0,3,0,0,4,0,0.29,0,0.29,0.29
1770bd68,2019-2020,ITA,1. Serie A,13th,Udinese,25,32,30,2453,27.3,2,1,2,0,0,6,0,0.07,0.04,0.11,0.07
1770bd68,2019-2020,ENG,1. Premier League,19th,Watford,25,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
178ae8f8,2019-2020,ENG,1. Premier League,7th,Wolves,22,34,27,2284,25.4,7,1,7,0,0,4,0,0.28,0.04,0.32,0.28
17a1299d,2019-2020,ESP,1. La Liga,4th,Sevilla,22,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17f3620a,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,24,15,9,909,10.1,4,1,2,2,2,2,0,0.4,0.1,0.5,0.2
17f3620a,2019-2020,ITA,1. Serie A,6th,Milan,24,18,14,1183,13.1,4,0,1,3,3,1,0,0.3,0,0.3,0.08
1827a42d,2019-2020,ESP,1. La Liga,17th,Celta Vigo,19,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1840e36d,2019-2020,ESP,1. La Liga,1st,Real Madrid,27,34,34,3060,34,0,0,0,0,0,1,0,0,0,0,0
1880614f,2019-2020,ITA,1. Serie A,5th,Roma,22,18,10,873,9.7,3,0,3,0,0,2,0,0.31,0,0.31,0.31
18abe173,2019-2020,ESP,1. La Liga,17th,Celta Vigo,23,32,27,2502,27.8,0,1,0,0,0,4,0,0,0.04,0.04,0
18b896d6,2019-2020,ENG,1. Premier League,4th,Chelsea,26,20,19,1710,19,2,0,2,0,0,3,0,0.11,0,0.11,0.11
1900032e,2019-2020,ENG,1. Premier League,11th,Southampton,26,19,17,1497,16.6,1,0,1,0,0,3,0,0.06,0,0.06,0.06
1961b2aa,2019-2020,ENG,1. Premier League,12th,Everton,26,19,17,1458,16.2,0,1,0,0,0,6,0,0,0.06,0.06,0
19709006,2019-2020,ESP,1. La Liga,18th,Leganés,21,30,22,1914,21.3,9,2,7,2,2,6,1,0.42,0.09,0.52,0.33
197640fd,2019-2020,ITA,1. Serie A,3rd,Atalanta,23,27,19,1769,19.7,1,2,1,0,0,4,0,0.05,0.1,0.15,0.05
19b776e9,2019-2020,ESP,1. La Liga,9th,Valencia,27,13,1,170,1.9,1,0,1,0,0,0,0,0.53,0,0.53,0.53
