id,season,country,comp_level,lg_finish,squad,age,minutes_90s,tackles,tackles_won,pressures,pressure_regains,pressure_regain_pct,blocks,blocked_shots,blocked_shots_saves,interceptions,clearances,errors
71b47ab9,2019-2020,ESP,1. La Liga,19th,Mallorca,20,16.5,19,11,259,61,23.6,20,2,0,9,14,0
71dc23da,2019-2020,ITA,1. Serie A,17th,Genoa,22,19.1,31,19,258,75,29.1,28,2,0,14,47,0
71ef519e,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,29,14.6,24,17,208,49,23.6,27,4,0,17,36,0
7242b495,2019-2020,GER,1. Bundesliga,17th,Düsseldorf,27,22.9,50,23,322,83,25.8,42,8,0,17,75,1
72a99e38,2019-2020,ESP,1. La Liga,15th,Betis,27,8.7,10,7,102,28,27.5,7,0,0,5,3,0
73000a79,2019-2020,GER,1. Bundesliga,5th,Leverkusen,24,10.1,24,16,135,51,37.8,15,3,0,7,24,0
7314bba4,2019-2020,ENG,1. Premier League,15th,Brighton,27,13.8,16,9,100,34,34,21,8,0,13,116,0
73683fa9,2019-2020,ESP,1. La Liga,20th,Espanyol,37,35.9,2,2,7,1,14.3,0,0,0,0,1,1
74419746,2019-2020,ITA,1. Serie A,2nd,Inter,35,35,0,0,5,0,0,0,0,0,0,1,1
7460ca0d,2019-2020,ESP,1. La Liga,9th,Valencia,30,33.6,62,46,650,165,25.4,52,14,1,22,17,1
74b2cd7e,2019-2020,ENG,1. Premier League,16th,West Ham,31,31,45,34,313,117,37.4,78,34,0,23,171,0
74e12f1e,2019-2020,ENG,1. Premier League,10th,Burnley,30,29,39,27,605,172,28.4,53,12,0,25,57,0
75645f0e,2019-2020,ESP,1. La Liga,15th,Betis,26,21.4,5,5,287,56,19.5,15,6,0,5,19,0
758dd7f0,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,25,17.8,47,32,220,71,32.3,35,5,0,13,60,0
75a72a99,2019-2020,ENG,1. Premier League,5th,Leicester City,25,28,122,68,563,176,31.3,59,8,0,41,97,2
75b86fb3,2019-2020,ITA,1. Serie A,2nd,Inter,20,21.3,38,21,246,67,27.2,34,13,0,14,74,0
75bd85ea,2019-2020,ESP,1. La Liga,19th,Mallorca,35,28.5,31,20,346,92,26.6,25,6,1,13,23,1
75f2c59f,2019-2020,ENG,1. Premier League,19th,Watford,28,18.3,16,10,348,92,26.4,39,1,0,11,5,1
76b2817e,2019-2020,GER,1. Bundesliga,14th,Köln,24,25.9,93,51,443,126,28.4,50,7,1,28,93,2
76eca7e2,2019-2020,ENG,1. Premier League,14th,Crystal Palace,32,3,0,0,0,0,NULL,0,0,0,0,0,0
774cf58b,2019-2020,ENG,1. Premier League,20th,Norwich City,19,36,64,36,487,132,27.1,100,30,2,20,86,0
77cf6852,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,24,11.3,20,12,134,40,29.9,20,9,0,6,40,0
77e84962,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,28,19.7,54,38,292,101,34.6,21,4,0,23,19,1
780e3631,2019-2020,ITA,1. Serie A,9th,Hellas Verona,22,27.7,44,31,439,135,30.8,50,9,0,15,48,0
78841da9,2019-2020,ITA,1. Serie A,7th,Napoli,32,24.1,16,7,330,76,23,30,3,0,3,13,1
79083382,2019-2020,ITA,1. Serie A,5th,Roma,28,1.5,4,2,22,11,50,4,0,0,1,3,0
792ffa71,2019-2020,GER,1. Bundesliga,14th,Köln,17,0.2,0,0,4,0,0,0,0,0,0,0,0
79300479,2019-2020,ESP,1. La Liga,6th,Real Sociedad,20,28.1,28,18,517,125,24.2,20,0,0,15,14,0
79443529,2019-2020,ITA,1. Serie A,10th,Fiorentina,19,16.7,4,2,240,60,25,10,2,0,7,6,0
7956236f,2019-2020,ENG,1. Premier League,8th,Arsenal,26,8.6,0,0,1,0,0,0,0,0,0,0,2
79b0d6a0,2019-2020,ENG,1. Premier League,7th,Wolves,31,38,0,0,5,0,0,1,0,0,0,1,1
79c0821a,2019-2020,ENG,1. Premier League,4th,Chelsea,25,23,80,55,533,173,32.5,28,2,0,12,17,0
79c84d1c,2019-2020,ENG,1. Premier League,16th,West Ham,22,10.2,19,13,174,40,23,15,0,0,16,5,0
79c90e45,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,27,27.5,31,21,284,86,30.3,62,8,2,20,56,0
79ca3e23,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,24,5,5,3,116,21,18.1,5,1,0,3,7,0
79ca3e23,2019-2020,ENG,1. Premier League,20th,Norwich City,24,8,19,15,197,54,27.4,18,2,0,5,7,0
7a11550b,2019-2020,ENG,1. Premier League,1st,Liverpool,22,22.3,26,15,151,60,39.7,25,8,0,19,90,1
7a1f2c08,2019-2020,ENG,1. Premier League,14th,Crystal Palace,22,8.5,15,12,118,40,33.9,13,2,0,11,17,0
7a2e46a8,2019-2020,ENG,1. Premier League,1st,Liverpool,26,28.3,0,0,5,1,20,0,0,0,1,2,1
7a538238,2019-2020,ESP,1. La Liga,7th,Granada,29,8,25,12,112,37,33,12,1,0,6,16,0
