id,season,country,comp_level,lg_finish,squad,age,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,average_shot_distance,shots_free_kicks,pens_made,pens_att
54e4866f,2019-2020,GER,1. Bundesliga,8th,Freiburg,26,18,4,48,17,35.4,2.67,0.95,0.06,23.3,12,1,1
54e4866f,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,26,0.2,0,0,0,NULL,0,0,NULL,NULL,0,0,0
54e53b7e,2019-2020,ITA,1. Serie A,11th,Parma,26,6.5,2,15,6,40,2.29,0.92,0.07,18,0,1,1
54e53b7e,2019-2020,ITA,1. Serie A,15th,Sampdoria,26,7.4,3,24,8,33.3,3.24,1.08,0.13,18.9,3,0,0
55126f3b,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,27,30,4,23,9,39.1,0.77,0.3,0.17,16.9,0,0,0
555d5edd,2019-2020,GER,1. Bundesliga,5th,Leverkusen,22,20.6,1,43,18,41.9,2.08,0.87,0.02,22,0,0,0
555f3a0b,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,24,13.5,0,3,2,66.7,0.22,0.15,0,28.2,0,0,0
563a68ad,2019-2020,ITA,1. Serie A,12th,Bologna,31,19.8,0,5,1,20,0.25,0.05,0,24.9,0,0,0
56413b1f,2019-2020,GER,1. Bundesliga,5th,Leverkusen,30,23.5,1,15,2,13.3,0.64,0.08,0.07,18.4,0,0,0
56f7a928,2019-2020,ENG,1. Premier League,5th,Leicester City,22,31.4,3,54,13,24.1,1.72,0.41,0.06,22.6,0,0,0
570bb4b9,2019-2020,ITA,1. Serie A,8th,Sassuolo,19,17.4,4,45,23,51.1,2.58,1.32,0.09,19,3,0,0
5722eced,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,19,3.4,1,12,1,8.3,3.52,0.29,0.08,22.3,1,0,0
57be54ec,2019-2020,ESP,1. La Liga,11th,Athletic Club,21,5.9,3,17,5,29.4,2.88,0.85,0.18,12.7,0,0,0
57df7a11,2019-2020,ENG,1. Premier League,16th,West Ham,25,10.4,0,5,2,40,0.48,0.19,0,29.2,0,0,0
57e3f0c7,2019-2020,ENG,1. Premier League,8th,Arsenal,24,22.3,5,49,16,32.7,2.19,0.72,0.08,19.4,7,1,1
582a5247,2019-2020,GER,1. Bundesliga,15th,Augsburg,22,1.1,0,0,0,NULL,0,0,NULL,NULL,0,0,0
58a9a4d9,2019-2020,ESP,1. La Liga,4th,Sevilla,24,17.7,3,16,10,62.5,0.9,0.56,0.19,19.1,0,0,0
58afe001,2019-2020,ESP,1. La Liga,8th,Getafe,23,34.1,1,46,7,15.2,1.35,0.21,0.02,24.7,4,0,0
58eee997,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,17,14.7,10,38,20,52.6,2.59,1.36,0.26,16.4,0,0,0
59b7d823,2019-2020,ESP,1. La Liga,11th,Athletic Club,26,6.9,0,3,0,0,0.43,0,0,18,0,0,0
59be3a74,2019-2020,ITA,1. Serie A,4th,Lazio,19,0.7,0,5,2,40,7.26,2.9,0,22.1,0,0,0
59e4b92e,2019-2020,GER,1. Bundesliga,15th,Augsburg,25,29.4,0,10,0,0,0.34,0,0,18.7,0,0,0
59e6e5bf,2019-2020,ENG,1. Premier League,12th,Everton,22,29.2,13,83,37,44.6,2.84,1.27,0.16,12.2,0,0,0
5a2cb25d,2019-2020,ITA,1. Serie A,9th,Hellas Verona,22,32.4,1,17,6,35.3,0.52,0.18,0,22.8,0,1,1
