id,season,country,comp_level,lg_finish,squad,age,minutes_90s,cards_yellow,cards_red,fouls,fouled,offsides,crosses,aerials_won,aerials_won_pct
8da74c05,2019-2020,ITA,1. Serie A,3rd,Atalanta,25,2.3,0,0,5,2,0,0,5,83.3
8db394aa,2019-2020,ESP,1. La Liga,16th,Alavés,29,21.1,8,0,29,37,0,15,37,56.1
8df7a2fb,2019-2020,ENG,1. Premier League,10th,Burnley,29,32,7,0,37,20,3,3,143,64.7
8e088e04,2019-2020,ESP,1. La Liga,10th,Osasuna,21,5.2,3,0,13,3,0,12,9,30
8e235926,2019-2020,GER,1. Bundesliga,15th,Augsburg,25,3.4,0,0,3,4,1,1,6,46.2
8e235926,2019-2020,GER,1. Bundesliga,12th,Schalke 04,25,9.2,2,0,13,6,2,4,44,50
8e48dc61,2019-2020,ESP,1. La Liga,6th,Real Sociedad,22,10.4,4,0,27,11,0,2,14,43.8
8e92be30,2019-2020,ESP,1. La Liga,6th,Real Sociedad,19,16.7,3,0,23,16,14,8,21,32.8
8eb55dbb,2019-2020,GER,1. Bundesliga,11th,Union Berlin,24,6,1,0,9,6,3,19,3,20
8f056768,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,21,19.1,4,0,35,30,0,8,21,51.2
8f29e08b,2019-2020,ESP,1. La Liga,10th,Osasuna,23,2,0,0,0,0,0,0,0,NULL
8f3565b3,2019-2020,ESP,1. La Liga,19th,Mallorca,28,30.7,12,0,74,70,16,7,141,46.7
8f5e92a6,2019-2020,ESP,1. La Liga,1st,Real Madrid,18,11.3,0,0,9,25,5,35,10,31.3
8f62b6ee,2019-2020,ENG,1. Premier League,6th,Tottenham,32,20.1,0,0,0,1,0,0,0,NULL
8f866fe8,2019-2020,ITA,1. Serie A,15th,Sampdoria,27,22.6,2,0,33,41,14,29,27,27.6
8f898ba8,2019-2020,ESP,1. La Liga,18th,Leganés,28,13.5,2,0,34,26,4,6,121,59.3
8f8c6934,2019-2020,ESP,1. La Liga,8th,Getafe,26,38,2,0,2,0,0,0,0,NULL
8fef5412,2019-2020,ITA,1. Serie A,6th,Milan,25,19.2,8,0,42,20,0,22,17,56.7
90339309,2019-2020,GER,1. Bundesliga,13th,Mainz 05,22,23.5,7,0,25,26,1,4,50,48.5
9038c2a1,2019-2020,ESP,1. La Liga,8th,Getafe,25,13.1,5,0,23,34,2,44,15,38.5
9050ddc4,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,25,16.6,0,0,13,20,1,27,19,57.6
9085dd7c,2019-2020,ITA,1. Serie A,14th,Cagliari,26,14.9,3,0,24,16,0,33,29,65.9
90f91999,2019-2020,ENG,1. Premier League,17th,Aston Villa,24,25.7,3,0,39,79,0,42,22,42.3
