id,season,country,comp_level,lg_finish,squad,age,games,mnts,minutes_per_game,minutes_pct,minutes_90s,games_starts,games_complete,games_subs,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_wowy
b19db005,2019-2020,ESP,1. La Liga,2nd,Barcelona,22,5,357,71,10.4,4,3,2,2,0,2.4,8,2,6,0.28
b1b25949,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,33,0,NULL,NULL,NULL,NULL,0,0,0,1,NULL,NULL,NULL,NULL,NULL
b1cd37e6,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,26,33,2958,90,96.7,32.9,33,32,0,0,1.36,58,57,1,1.8
b217ef29,2019-2020,ENG,1. Premier League,1st,Liverpool,27,9,703,78,20.6,7.8,8,7,1,7,2.56,15,5,10,-0.11
b233e8e4,2019-2020,ESP,1. La Liga,17th,Celta Vigo,27,18,1529,85,44.7,17,17,16,1,0,1.22,17,16,1,0.68
b233e8e4,2019-2020,ITA,1. Serie A,15th,Sampdoria,27,10,666,67,19.5,7.4,7,6,3,8,1,5,14,-9,-0.95
b28bbd58,2019-2020,ENG,1. Premier League,14th,Crystal Palace,28,24,1294,54,37.8,14.4,14,8,10,5,1.04,8,23,-15,-0.87
b2bc3b1f,2019-2020,ENG,1. Premier League,14th,Crystal Palace,26,38,3280,86,95.9,36.4,37,36,1,0,1.13,31,46,-15,2.16
b2d03887,2019-2020,ESP,1. La Liga,16th,Alavés,25,17,1293,76,37.8,14.4,15,6,2,2,1.06,11,19,-8,0.16
b2d03887,2019-2020,ENG,1. Premier League,14th,Crystal Palace,25,1,6,6,0.2,0.1,0,0,1,10,0,0,0,0,0.5
b2d0ec1b,2019-2020,ESP,1. La Liga,17th,Celta Vigo,32,7,324,46,9.5,3.6,1,0,6,0,1.13,6,7,-1,0.04
b2d0ec1b,2019-2020,ESP,1. La Liga,4th,Sevilla,32,15,898,60,26.3,10,12,3,3,6,2,12,8,4,-0.17
b2d31e83,2019-2020,ENG,1. Premier League,15th,Brighton,27,34,2880,85,84.2,32,33,31,1,0,1.15,32,42,-10,0.52
b3325a30,2019-2020,GER,1. Bundesliga,12th,Schalke 04,22,20,1599,80,52.3,17.8,19,12,1,0,1.65,28,28,0,1.23
b3af9be1,2019-2020,ITA,1. Serie A,12th,Bologna,20,29,2528,87,73.9,28.1,29,25,0,0,1.28,36,45,-9,0.08
b3b7f5a6,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,29,22,1220,55,39.9,13.6,12,9,10,12,1.14,22,25,-3,-0.32
b400bde0,2019-2020,ENG,1. Premier League,2nd,Manchester City,24,33,2651,80,77.5,29.5,30,19,3,3,2,71,31,40,-1.8
b418dbd4,2019-2020,ESP,1. La Liga,11th,Athletic Club,33,35,2869,82,83.9,31.9,33,22,2,0,1.46,32,26,6,0.68
b4a014b1,2019-2020,ESP,1. La Liga,4th,Sevilla,26,35,3134,90,91.6,34.8,35,34,0,2,1.86,49,31,18,-0.11
b4cf5806,2019-2020,GER,1. Bundesliga,11th,Union Berlin,28,33,2682,81,87.6,29.8,31,19,2,0,1.15,34,52,-18,-0.84
b500b384,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,28,21,1200,57,39.2,13.3,14,2,7,0,1.57,19,15,4,0.4
b50ec54b,2019-2020,GER,1. Bundesliga,14th,Köln,24,9,623,69,20.4,6.9,7,2,2,6,1.11,5,10,-5,-0.24
b561db50,2019-2020,ENG,1. Premier League,7th,Wolves,28,38,3236,85,94.6,36,37,20,1,0,1.55,48,36,12,0.82
b579e83d,2019-2020,ESP,1. La Liga,8th,Getafe,23,10,572,57,16.7,6.4,6,1,4,0,1.5,7,6,1,0
b5bdf144,2019-2020,ESP,1. La Liga,20th,Espanyol,29,2,180,90,5.3,2,2,2,0,9,2,2,0,2,1.92
b5bdf144,2019-2020,ESP,1. La Liga,12th,Levante,29,0,NULL,NULL,NULL,NULL,0,0,0,14,NULL,NULL,NULL,NULL,NULL
b5bf1770,2019-2020,ITA,1. Serie A,16th,Torino,22,17,1176,69,34.4,13.1,15,8,2,11,0.65,8,24,-16,-0.98
b5dd3469,2019-2020,ESP,1. La Liga,12th,Levante,26,26,1993,77,58.3,22.1,22,17,4,2,1.35,33,33,0,0.38
b66315ae,2019-2020,ENG,1. Premier League,2nd,Manchester City,22,34,2030,60,59.4,22.6,21,12,13,1,2.12,63,14,49,1.01
b6964eb6,2019-2020,ITA,1. Serie A,5th,Roma,29,30,2566,86,75,28.5,29,28,1,1,1.67,54,38,16,-0.49
b70bde8f,2019-2020,ITA,1. Serie A,2nd,Inter,23,12,723,60,21.1,8,9,2,3,3,2.25,14,5,9,-0.08
b742cc0d,2019-2020,ESP,1. La Liga,15th,Betis,28,30,2524,84,73.8,28,29,25,1,6,1.07,32,48,-16,-0.97
b77f44a4,2019-2020,GER,1. Bundesliga,11th,Union Berlin,23,31,2789,90,91.1,31,31,30,0,1,1.19,38,55,-17,-0.55
b7a5bc86,2019-2020,ITA,1. Serie A,20th,SPAL,23,8,421,53,12.3,4.7,5,1,3,3,0.63,3,8,-5,0.28
b7c99b9b,2019-2020,ESP,1. La Liga,16th,Alavés,29,31,2654,86,77.6,29.5,31,27,0,2,1,27,44,-17,0.36
b7ca5c51,2019-2020,ESP,1. La Liga,9th,Valencia,28,33,2801,85,81.9,31.1,31,28,2,2,1.39,39,45,-6,-0.05
b7de5bad,2019-2020,ESP,1. La Liga,20th,Espanyol,19,18,1270,71,37.1,14.1,14,12,4,6,0.56,8,25,-17,-0.62
b825a650,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,28,11,675,61,22.1,7.5,8,2,3,4,2,18,6,12,0.39
b827d5b3,2019-2020,ENG,1. Premier League,5th,Leicester City,29,20,867,43,25.4,9.6,9,2,11,16,1.45,16,11,5,-0.22
b853e0ad,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,26,29,2163,75,63.2,24,23,21,6,5,1.66,35,26,9,-1.13
b857bd29,2019-2020,ESP,1. La Liga,19th,Mallorca,27,32,2775,87,81.1,30.8,32,28,0,0,0.97,33,50,-17,0.56
