id,season,country,comp_level,lg_finish,squad,age,minutes_90s,touches,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,pass_targets
ac295d9e,2019-2020,ESP,1. La Liga,14th,Eibar,27,35,1158,1146,13,2,2,1,1,100,0,0,364
ac4003af,2019-2020,ITA,1. Serie A,3rd,Atalanta,27,5.8,161,160,2,0,0,0,0,NULL,0,0,73
ac73ec79,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,21,19.8,1571,555,735,370,50,12,27,44.4,23,15,1051
ac7e640b,2019-2020,ITA,1. Serie A,3rd,Atalanta,25,10.7,531,254,277,24,8,2,2,100,2,3,297
ac861941,2019-2020,ENG,1. Premier League,6th,Tottenham,25,14.9,1035,475,547,61,11,3,5,60,6,4,723
ad00b1a8,2019-2020,GER,1. Bundesliga,14th,Köln,24,12.9,884,259,438,227,8,2,8,25,7,4,529
ad1ffcfd,2019-2020,ESP,1. La Liga,5th,Villarreal,31,29.4,1715,507,1102,175,35,10,15,66.7,19,12,1222
ad3389d5,2019-2020,GER,1. Bundesliga,5th,Leverkusen,29,34,1687,1683,6,0,0,0,0,NULL,0,0,1009
ad6df2d5,2019-2020,ITA,1. Serie A,1st,Juventus,29,25.3,2220,419,1366,523,15,16,22,72.7,16,15,1674
aded8e6f,2019-2020,ITA,1. Serie A,5th,Roma,17,0.7,19,5,8,6,3,0,0,NULL,1,0,17
adfc9123,2019-2020,ESP,1. La Liga,2nd,Barcelona,32,34.4,2996,1406,1709,95,28,9,9,100,9,7,2211
ae44e8e2,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,21,8.3,489,50,239,221,33,9,21,42.9,15,16,454
ae4e2852,2019-2020,ITA,1. Serie A,1st,Juventus,26,5.2,400,122,223,76,5,8,11,72.7,7,5,272
ae7058f9,2019-2020,ITA,1. Serie A,15th,Sampdoria,21,6.3,314,174,150,8,3,4,4,100,3,1,173
aed746df,2019-2020,ESP,1. La Liga,16th,Alavés,29,9.6,317,65,149,126,17,12,17,70.6,21,19,328
aeed5c06,2019-2020,GER,1. Bundesliga,5th,Leverkusen,20,19.7,947,95,468,502,101,72,117,61.5,52,58,1045
afb0c500,2019-2020,GER,1. Bundesliga,12th,Schalke 04,22,25.7,1078,1076,3,0,0,0,0,NULL,1,0,553
b05e2dbd,2019-2020,ESP,1. La Liga,9th,Valencia,24,22.1,1255,423,577,362,43,31,51,60.8,14,17,834
b0616e3d,2019-2020,ESP,1. La Liga,4th,Sevilla,29,8.6,707,236,350,150,12,7,11,63.6,7,8,452
b0a0698b,2019-2020,GER,1. Bundesliga,14th,Köln,29,24.5,1472,862,666,54,12,5,7,71.4,6,7,866
b0b4fd3e,2019-2020,ENG,1. Premier League,17th,Aston Villa,23,35.9,2029,338,915,1040,139,71,120,59.2,62,78,1776
b0c71810,2019-2020,ENG,1. Premier League,11th,Southampton,25,8.5,515,53,203,322,53,54,96,56.3,21,41,468
b0f7e36c,2019-2020,ITA,1. Serie A,10th,Fiorentina,21,29.3,1225,147,494,686,173,60,93,64.5,53,58,1266
b0fce72c,2019-2020,ESP,1. La Liga,11th,Athletic Club,26,14.1,730,177,436,148,16,8,14,57.1,11,10,450
b1236c63,2019-2020,ITA,1. Serie A,13th,Udinese,29,13.9,540,47,285,222,62,9,16,56.3,27,18,647
b14d0c5d,2019-2020,ESP,1. La Liga,15th,Betis,29,13.1,993,514,504,33,9,7,9,77.8,2,2,684
b19db005,2019-2020,ESP,1. La Liga,2nd,Barcelona,22,4,310,19,110,213,23,16,31,51.6,12,7,307
b1cd37e6,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,26,32.9,2063,312,924,1015,115,86,141,61,63,62,1518
b217ef29,2019-2020,ENG,1. Premier League,1st,Liverpool,27,7.8,626,278,361,32,8,2,2,100,1,2,412
b233e8e4,2019-2020,ESP,1. La Liga,17th,Celta Vigo,27,17,892,508,393,20,14,1,2,50,5,1,530
b233e8e4,2019-2020,ITA,1. Serie A,15th,Sampdoria,27,7.4,351,180,165,24,3,3,4,75,0,5,186
b28bbd58,2019-2020,ENG,1. Premier League,14th,Crystal Palace,28,14.4,647,117,313,302,28,36,51,70.6,28,36,547
b2bc3b1f,2019-2020,ENG,1. Premier League,14th,Crystal Palace,26,36.4,1859,194,869,995,226,162,262,61.8,123,172,1956
b2d03887,2019-2020,ESP,1. La Liga,16th,Alavés,25,14.4,662,113,413,171,11,16,29,55.2,23,12,512
b2d03887,2019-2020,ENG,1. Premier League,14th,Crystal Palace,25,0.1,3,0,3,0,0,0,0,NULL,0,0,3
b2d0ec1b,2019-2020,ESP,1. La Liga,17th,Celta Vigo,32,3.6,210,35,106,80,17,1,6,16.7,4,6,178
b2d0ec1b,2019-2020,ESP,1. La Liga,4th,Sevilla,32,10,438,44,178,238,57,12,16,75,17,7,477
b2d31e83,2019-2020,ENG,1. Premier League,15th,Brighton,27,32,2247,783,1117,476,32,25,43,58.1,25,37,1438
b3325a30,2019-2020,GER,1. Bundesliga,12th,Schalke 04,22,17.8,778,167,476,215,34,46,72,63.9,24,51,536
b3af9be1,2019-2020,ITA,1. Serie A,12th,Bologna,20,28.1,1985,677,1001,448,29,30,47,63.8,23,18,1232
b3b7f5a6,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,29,13.6,589,131,247,241,34,4,10,40,13,8,499
b400bde0,2019-2020,ENG,1. Premier League,2nd,Manchester City,24,29.5,1636,93,571,1087,296,59,128,46.1,51,71,1688
b418dbd4,2019-2020,ESP,1. La Liga,11th,Athletic Club,33,31.9,1366,177,702,549,106,8,16,50,68,29,1409
b4a014b1,2019-2020,ESP,1. La Liga,4th,Sevilla,26,34.8,2226,1276,970,54,28,8,9,88.9,4,4,1501
b4cf5806,2019-2020,GER,1. Bundesliga,11th,Union Berlin,28,29.8,1211,98,584,575,135,25,42,59.5,106,78,1710
b500b384,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,28,13.3,711,73,362,314,41,7,13,53.8,26,24,731
b50ec54b,2019-2020,GER,1. Bundesliga,14th,Köln,24,6.9,384,54,183,174,23,20,36,55.6,21,14,317
b561db50,2019-2020,ENG,1. Premier League,7th,Wolves,28,36,1489,126,788,667,197,75,110,68.2,97,88,1838
b579e83d,2019-2020,ESP,1. La Liga,8th,Getafe,23,6.4,293,58,161,95,13,6,9,66.7,11,9,194
b5bdf144,2019-2020,ESP,1. La Liga,20th,Espanyol,29,2,64,64,0,0,0,0,0,NULL,0,0,32
b5bf1770,2019-2020,ITA,1. Serie A,16th,Torino,22,13.1,810,466,377,31,3,10,16,62.5,4,3,508
b5dd3469,2019-2020,ESP,1. La Liga,12th,Levante,26,22.1,1159,347,781,97,8,30,40,75,15,23,818
b66315ae,2019-2020,ENG,1. Premier League,2nd,Manchester City,22,22.6,916,57,357,543,204,51,73,69.9,51,35,1090
b6964eb6,2019-2020,ITA,1. Serie A,5th,Roma,29,28.5,1748,848,914,81,48,7,9,77.8,5,3,1150
b70bde8f,2019-2020,ITA,1. Serie A,2nd,Inter,23,8,626,70,303,291,23,13,21,61.9,12,14,514
b742cc0d,2019-2020,ESP,1. La Liga,15th,Betis,28,28,2001,1117,878,106,31,13,19,68.4,16,11,1338
b77f44a4,2019-2020,GER,1. Bundesliga,11th,Union Berlin,23,31,1533,868,695,89,35,12,18,66.7,14,12,898
b7a5bc86,2019-2020,ITA,1. Serie A,20th,SPAL,23,4.7,262,89,121,66,3,5,8,62.5,12,5,206
b7c99b9b,2019-2020,ESP,1. La Liga,16th,Alavés,29,29.5,1316,780,576,26,16,3,5,60,2,3,692
b7ca5c51,2019-2020,ESP,1. La Liga,9th,Valencia,28,31.1,2028,1246,869,34,16,6,7,85.7,4,1,1344
b7de5bad,2019-2020,ESP,1. La Liga,20th,Espanyol,19,14.1,828,226,395,257,12,4,10,40,9,9,519
b825a650,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,28,7.5,584,117,374,141,7,8,12,66.7,6,8,467
b827d5b3,2019-2020,ENG,1. Premier League,5th,Leicester City,29,9.6,622,111,258,292,23,10,29,34.5,9,12,494
b853e0ad,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,26,24,2035,480,1216,487,23,40,52,76.9,28,40,1478
b857bd29,2019-2020,ESP,1. La Liga,19th,Mallorca,27,30.8,1408,896,559,47,21,2,2,100,4,1,866
b8a642fc,2019-2020,ESP,1. La Liga,5th,Villarreal,20,22.8,1066,119,526,525,124,60,99,60.6,71,47,1106
b8c1de25,2019-2020,ESP,1. La Liga,7th,Granada,30,16.7,744,223,495,62,8,14,18,77.8,11,9,424
b96b595c,2019-2020,ITA,1. Serie A,4th,Lazio,31,35.1,2365,1206,1158,202,34,15,17,88.2,8,7,1641
b9fbae28,2019-2020,ENG,1. Premier League,4th,Chelsea,28,19.2,1398,290,785,416,37,28,46,60.9,26,32,1045
ba3d3bea,2019-2020,ITA,1. Serie A,4th,Lazio,24,6.6,510,134,285,134,6,4,6,66.7,4,3,354
ba5004e1,2019-2020,ESP,1. La Liga,8th,Getafe,31,28.8,1775,367,901,572,17,24,36,66.7,21,15,807
bad38a94,2019-2020,ESP,1. La Liga,20th,Espanyol,30,27.7,1573,466,854,367,36,13,21,61.9,21,14,912
bb5fbd2b,2019-2020,ENG,1. Premier League,15th,Brighton,25,12.7,759,139,317,363,47,18,30,60,12,28,585
bba30585,2019-2020,ESP,1. La Liga,6th,Real Sociedad,25,25.9,1842,1001,940,45,16,6,8,75,5,4,1291
bbafc0c4,2019-2020,ITA,1. Serie A,16th,Torino,32,19.6,1085,287,436,454,50,53,84,63.1,26,35,749
bbd86530,2019-2020,GER,1. Bundesliga,11th,Union Berlin,24,25.2,1479,484,689,398,23,25,39,64.1,27,21,750
